"family","description"
"PF07195","Flagellar hook-associated protein 2 C-terminus"
"PF07200","Modifier of rudimentary (Mod(r)) protein"
"PF07201","HrpJ-like domain"
"PF07202","T-complex protein 10 C-terminus"
"PF07204","Orthoreovirus membrane fusion protein p10"
"PF07210","Protein of unknown function (DUF1416)"
"PF07213","DAP10 membrane protein"
"PF07217","Heterokaryon incompatibility protein Het-C"
"PF07218","Rhoptry-associated protein 1 (RAP-1)"
"PF07219","HemY_N"
"PF07221","N-acylglucosamine 2-epimerase (GlcNAc 2-epimerase)"
"PF07222","Proacrosin binding protein sp32"
"PF07224","Chlorophyllase"
"PF07225","NADH-ubiquinone oxidoreductase B15 subunit (NDUFB4)"
"PF07228","Stage II sporulation protein E (SpoIIE)"
"PF07236","Phytoreovirus S7 protein"
"PF07238","PilZ"
"PF07240","Stress-inducible humoral factor Turandot"
"PF07244","Surf_Ag_VNR"
"PF07247","Alcohol acetyltransferase"
"PF07249","Cerato-platanin"
"PF07250","Glyoxal oxidase N-terminus"
"PF07251","DUF1432"
"PF07253","Gypsy protein"
"PF07261","DnaB_2"
"PF07263","Dentin matrix protein 1 (DMP1)"
"PF07264","Etoposide-induced protein 2.4 (EI24)"
"PF07271","Cytadhesin P30/P32"
"PF07275","Antirestriction protein (ArdA)"
"PF07276","PSGP"
"PF07281","Insulin-induced protein (INSIG)"
"PF07282","Putative transposase DNA-binding domain"
"PF07285","DUF1444"
"PF07286","DUF1445"
"PF07287","Protein of unknown function (DUF1446)"
"PF07288","DUF1447"
"PF07289","DUF1448"
"PF07290","Protein of unknown function (DUF1449)"
"PF07291","Methylamine utilisation protein MauE"
"PF07297","Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2)"
"PF07298","NnrU protein"
"PF07300","DUF1452"
"PF07302","AroM protein"
"PF07303","Occludin homology domain"
"PF07304","Steroid receptor RNA activator (SRA1)"
"PF07308","HMMPfam"
"PF07309","Flagellar protein FlaF"
"PF07311","Dodecin"
"PF07319","DnaI_N"
"PF07324","DiGeorge syndrome critical region 6 (DGCR6) protein"
"PF07330","Protein of unknown function (DUF1467)"
"PF07331","Tripartite tricarboxylate transporter TctB family"
"PF07333","S locus-related glycoprotein 1 binding pollen coat protein (SLR1-BP)"
"PF07335","Chitosanase"
"PF07336","Protein of unknown function (DUF1470)"
"PF07338","DUF1471"
"PF07340","Cytomegalovirus IE1 protein"
"PF07342","Protein of unknown function (DUF1474)"
"PF07344","Amastin surface glycoprotein"
"PF07345","Domain of unknown function (DUF1476)"
"PF07347","NADH:ubiquinone oxidoreductase subunit B14.5a (Complex I-B14.5a)"
"PF07350","Protein of unknown function (DUF1479)"
"PF07354","Zona-pellucida-binding protein (Sp38)"
"PF07359","Liver-expressed antimicrobial peptide 2 precursor (LEAP-2)"
"PF07361","Cytochrome b562"
"PF07363","Protein of unknown function (DUF1484)"
"PF07364","DUF1485"
"PF07366","SnoaL"
"PF07367","Fungal fruit body lectin"
"PF07377","DUF1493"
"PF07382","Histone H1-like nucleoprotein HC2"
"PF07386","Protein of unknown function (DUF1499)"
"PF07391","NPR"
"PF07393","Exocyst complex component Sec10"
"PF07394","Protein of unknown function (DUF1501)"
"PF07395","Mig-14"
"PF07404","Telomere-binding protein beta subunit (TEBP beta)"
"PF07406","NICE-3 protein"
"PF07408","DUF1507"
"PF07412","Geminin"
"PF07417","Transcriptional regulator Crl"
"PF07418","PCEMA1"
"PF07420","Protein of unknown function (DUF1509)"
"PF07426","Dynactin subunit p22"
"PF07427","DUF1511"
"PF07428","15-O-acetyltransferase Tri3"
"PF07433","Protein of unknown function (DUF1513)"
"PF07443","HepA-related protein (HARP)"
"PF07445","Primosomal replication protein priB and priC"
"PF07449","HyaE"
"PF07451","SpoVAD"
"PF07452","CHRD domain"
"PF07453","NUMOD1"
"PF07460","NUMOD3"
"PF07462","Merozoite surface protein 1 (MSP1) C-terminus"
"PF07463","NUMOD4 motif"
"PF07466","Protein of unknown function (DUF1517)"
"PF07470","Glycosyl Hydrolase Family 88"
"PF07471","Phage DNA packaging protein Nu1"
"PF07472","Fucose-binding lectin II (PA-IIL)"
"PF07475","Hpr_kinase_C"
"PF07476","MAAL_C"
"PF07477","Glycosyl hydrolase family 67 C-terminus"
"PF07478","Dala_Dala_lig_C"
"PF07479","NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus"
"PF07484","Phage Tail Collar Domain"
"PF07485","Domain of Unknown Function (DUF1259)"
"PF07488","Glycosyl hydrolase family 67 middle domain"
"PF07489","Translocated intimin receptor (Tir) C-terminus"
"PF07491","Protein phosphatase inhibitor"
"PF07492","Neutral trehalase Ca2+ binding domain"
"PF07493","C1D"
"PF07494","Reg_prop"
"PF07497","Rho_RNA_bind"
"PF07498","Rho termination factor, N-terminal domain"
"PF07499","RuvA, C-terminal domain"
"PF07500","Transcription factor S-II (TFIIS), central domain"
"PF07501","G5"
"PF07504","Fungalysin/Thermolysin Propeptide Motif"
"PF07505","Phage protein Gp37/Gp68"
"PF07506","RepB"
"PF07508","Recombinase"
"PF07510","Protein of unknown function (DUF1524)"
"PF07514","TraI_2"
"PF07515","Protein of unknown function (DUF1528)"
"PF07516","SecA_SW"
"PF07517","SecA DEAD-like domain"
"PF07519","Tannase and feruloyl esterase"
"PF07521","RNA-metabolising metallo-beta-lactamase"
"PF07522","DNA repair metallo-beta-lactamase"
"PF07523","Bacterial Ig-like domain (group 3)"
"PF07524","Bromodomain associated"
"PF07529","HSA"
"PF07530","Associated with zinc fingers"
"PF07534","TLD"
"PF07535","DBF zinc finger"
"PF07536","HWE histidine kinase"
"PF07537","CamS"
"PF07538","Clostridial hydrophobic W"
"PF07539","Down-regulated in metastasis"
"PF07540","Nucleolar complex-associated protein"
"PF07541","Eukaryotic translation initiation factor 2 alpha subunit"
"PF07542","ATP12 chaperone protein"
"PF07543","Protein trafficking PGA2"
"PF07544","RNA polymerase II transcription mediator complex subunit 9"
"PF07549","Sec_GG"
"PF07554","FIVAR"
"PF07555","beta-N-acetylglucosaminidase"
"PF07556","Protein of unknown function (DUF1538)"
"PF07557","Shugoshin C terminus"
"PF07558","Shugoshin N-terminal coiled-coil region"
"PF07564","DUF1542"
"PF07565","Band 3 cytoplasmic domain"
"PF07569","TUP1-like enhancer of split"
"PF07570","DUF1545"
"PF07571","Protein of unknown function (DUF1546)"
"PF07572","Bucentaur or craniofacial development"
"PF07573","Nitrogen regulatory protein AreA N terminus"
"PF07574","Nse1 non-SMC component of SMC5-6 complex"
"PF07575","Nup85 Nucleoporin"
"PF07576","BRCA1-associated protein 2"
"PF07578","Lipid A Biosynthesis N-terminal domain"
"PF07581","Glug"
"PF07582","AP endonuclease family 2 C terminus"
"PF07583","PSCyt2"
"PF07586","Protein of unknown function (DUF1552)"
"PF07589","VPEP"
"PF07591","Pretoxin HINT domain"
"PF07595","Planc_extracel"
"PF07602","DUF1565"
"PF07604","DUF1567"
"PF07606","Protein of unknown function (DUF1569)"
"PF07610","Protein of unknown function (DUF1573)"
"PF07615","Ykof"
"PF07619","Protein of unknown function (DUF1581)"
"PF07620","SLEI"
"PF07622","DUF1583"
"PF07623","PEGSRP"
"PF07624","Protein of unknown function (DUF1585)"
"PF07625","Protein of unknown function (DUF1586)"
"PF07627","Protein of unknown function (DUF1588)"
"PF07628","Protein of unknown function (DUF1589)"
"PF07631","Protein of unknown function (DUF1592)"
"PF07632","Protein of unknown function (DUF1593)"
"PF07637","Protein of unknown function (DUF1595)"
"PF07638","ECF sigma factor"
"PF07639","YTV"
"PF07642","Outer membrane protein family (DUF1597)"
"PF07645","Calcium-binding EGF domain"
"PF07646","Kelch motif"
"PF07647","SAM domain (Sterile alpha motif)"
"PF07648","Kazal-type serine protease inhibitor domain"
"PF07649","C1_3"
"PF07650","KH domain"
"PF07651","ANTH domain"
"PF07652","Flavivirus DEAD domain"
"PF07653","Variant SH3 domain"
"PF07654","C1-set"
"PF07655","Secretin N-terminal domain"
"PF07659","Domain of Unknown Function (DUF1599)"
"PF07660","STN"
"PF07661","MORN repeat variant"
"PF07662","Na+ dependent nucleoside transporter C-terminus"
"PF07663","Sorbitol phosphotransferase enzyme II C-terminus"
"PF07664","FeoB_C"
"PF07665","MpPF2"
"PF07666","M penetrans paralogue family 26"
"PF07669","Eco57I restriction-modification methylase"
"PF07670","Gate"
"PF07672","Mycoplasma MFS transporter"
"PF07673","Protein of unknown function (DUF1602)"
"PF07675","Cleaved Adhesin Domain"
"PF07676","WD40-like Beta Propeller Repeat"
"PF07678","A-macroglobulin complement component"
"PF07679","Immunoglobulin I-set domain"
"PF07681","DoxX"
"PF07683","Cobalamin synthesis protein cobW C-terminal domain"
"PF07685","GATase_3"
"PF07687","Peptidase dimerisation domain"
"PF07690","Major Facilitator Superfamily"
"PF07691","PA14 domain"
"PF07693","KAP family P-loop domain"
"PF07694","5TMR of 5TMR-LYT"
"PF07696","7TMR-DISMED2"
"PF07697","7TM-HD extracellular"
"PF07698","7TM-7TMR_HD"
"PF07699","GCC2_GCC3"
"PF07700","Heme NO binding"
"PF07701","Heme NO binding associated"
"PF07702","UTRA"
"PF07703","Alpha-2-macroglobulin family N-terminal region"
"PF07705","CARDB"
"PF07707","BTB And C-terminal Kelch"
"PF07709","Seven Residue Repeat"
"PF07712","Stress up-regulated Nod 19"
"PF07713","Protein of unknown function (DUF1604)"
"PF07714","Protein tyrosine kinase"
"PF07715","Plug"
"PF07716","Basic region leucine zipper"
"PF07717","Oligonucleotide/oligosaccharide-binding (OB)-fold"
"PF07718","Coatomer beta C-terminal region"
"PF07719","Tetratricopeptide repeat"
"PF07720","TPR_3"
"PF07721","Tetratricopeptide repeat"
"PF07722","Peptidase C26"
"PF07723","Leucine-rich repeat 2"
"PF07724","AAA domain (Cdc48 subfamily)"
"PF07725","LRR_3"
"PF07726","AAA_3"
"PF07727","Reverse transcriptase, RNA-dependent DNA polymerase"
"PF07728","AAA domain (dynein-related subfamily)"
"PF07729","FCD"
"PF07730","Histidine kinase"
"PF07731","Multicopper oxidase"
"PF07732","Multicopper oxidase"
"PF07733","DNA_pol3_alpha"
"PF07734","FBA_1"
"PF07737","Anthrax toxin lethal factor, N- and C-terminal domain"
"PF07738","Sad1 / UNC-like C-terminal"
"PF07739","TipAS antibiotic-recognition domain"
"PF07740","Ion channel inhibitory toxin"
"PF07741","Brf1-like TBP-binding domain"
"PF07742","Anti-proliferative protein"
"PF07743","HSCB C-terminal oligomerisation domain"
"PF07744","SPOC domain"
"PF07745","Glycosyl hydrolase family 53"
"PF07748","Glycosyl hydrolases family 38 C-terminal domain"
"PF07749","Endoplasmic reticulum protein ERp29, C-terminal domain"
"PF07750","GcrA cell cycle regulator"
"PF07751","Abi-like protein"
"PF07753","DUF1609"
"PF07757","Predicted AdoMet-dependent methyltransferase"
"PF07758","Protein of unknown function (DUF1614)"
"PF07759","DUF1615"
"PF07762","Protein of unknown function (DUF1618)"
"PF07766","LETM1-like protein"
"PF07767","Nop53 (60S ribosomal biogenesis)"
"PF07768","PVL_ORF50"
"PF07770","SFT2"
"PF07772","TP901-1_ORF40"
"PF07773","DUF1619"
"PF07774","Protein of unknown function (DUF1620)"
"PF07777","MFMR"
"PF07778","Mis6"
"PF07779","Cas1p"
"PF07780","Spb1 C-terminal domain"
"PF07781","Reovirus_Mu2"
"PF07786","Protein of unknown function (DUF1624)"
"PF07787","Protein of unknown function (DUF1625)"
"PF07790","Protein of unknown function (DUF1628)"
"PF07792","Docking domain of Afi1 for Arf3 in vesicle trafficking"
"PF07793","Protein of unknown function (DUF1631)"
"PF07794","Protein of unknown function (DUF1633)"
"PF07795","Protein of unknown function (DUF1635)"
"PF07798","Protein of unknown function (DUF1640)"
"PF07799","Protein of unknown function (DUF1643)"
"PF07800","Protein of unknown function (DUF1644)"
"PF07801","Protein of unknown function (DUF1647)"
"PF07802","GCK domain"
"PF07804","HipA_C"
"PF07807","RED-like protein C-terminal region"
"PF07808","RED-like protein N-terminal region"
"PF07810","TMC"
"PF07812","TfuA-like protein"
"PF07813","LTXXQ"
"PF07814","Wings apart-like protein regulation of heterochromatin"
"PF07817","GLE1"
"PF07818","HCNGP-like protein"
"PF07819","PGAP1-like protein"
"PF07820","TraC-like protein"
"PF07821","Alpha-amylase C-terminal beta-sheet domain"
"PF07823","Cyclic phosphodiesterase-like protein"
"PF07828","PA-IL"
"PF07831","PYNP_C"
"PF07832","Bse634I"
"PF07833","Cu_amine_oxidN1"
"PF07835","Bacterial aa3 type cytochrome c oxidase subunit IV"
"PF07842","GC-rich sequence DNA-binding factor-like protein"
"PF07844","Lg106"
"PF07845","Protein of unknown function (DUF1636)"
"PF07847","Protein of unknown function (DUF1637)"
"PF07848","PaaX"
"PF07849","DUF1641"
"PF07851","TMPIT-like protein"
"PF07853","DUF1648"
"PF07855","Protein of unknown function (DUF1649)"
"PF07858","Limonene-1,2-epoxide hydrolase catalytic domain"
"PF07859","alpha/beta hydrolase fold"
"PF07862","Nitrogen fixation protein of unknown function"
"PF07866","Protein of unknown function (DUF1653)"
"PF07869","DUF1656"
"PF07875","Coat_F"
"PF07876","Stress responsive A/B Barrel Domain"
"PF07882","L-fucose isomerase, second N-terminal domain"
"PF07883","Cupin domain"
"PF07884","Vitamin K epoxide reductase family"
"PF07885","Ion channel"
"PF07888","Calcium binding and coiled-coil domain (CALCOCO1) like"
"PF07889","Protein of unknown function (DUF1664)"
"PF07890","Rrp15p"
"PF07896","Protein of unknown function (DUF1674)"
"PF07897","Protein of unknown function (DUF1675)"
"PF07904","Chromatin modification-related protein EAF7"
"PF07907","YibE_F"
"PF07908","D-aminoacylase, C-terminal region"
"PF07910","Peptidase family C78"
"PF07912","ERp29_N"
"PF07914","DUF1679"
"PF07915","Glucosidase II beta subunit-like protein"
"PF07916","TraG-like protein, N-terminal region"
"PF07919","Gryzun, putative trafficking through Golgi"
"PF07920","DUF1684"
"PF07923","N1221-like protein"
"PF07924","Nuclease A inhibitor-like protein"
"PF07925","Reovirus RNA-dependent RNA polymerase lambda 3"
"PF07926","TPR/MLP1/MLP2-like protein"
"PF07927","YcfA-like protein"
"PF07928","Vps54-like protein"
"PF07929","Plasmid pRiA4b ORF-3-like protein"
"PF07930","D-aminopeptidase, domain B"
"PF07931","Chloramphenicol phosphotransferase-like protein"
"PF07932","DAP_C"
"PF07933","Protein of unknown function (DUF1681)"
"PF07934","8-oxoguanine DNA glycosylase, N-terminal domain"
"PF07937","DUF1686"
"PF07938","Fungal fucose-specific lectin"
"PF07940","Heparinase II/III-like protein"
"PF07942","N2227-like protein"
"PF07943","PBP5_C"
"PF07944","DUF1680"
"PF07946","Protein of unknown function (DUF1682)"
"PF07947","YhhN-like protein"
"PF07949","YbbR"
"PF07950","Protein of unknown function (DUF1691)"
"PF07952","Clostridium neurotoxin, Translocation domain"
"PF07954","Protein of unknown function (DUF1689)"
"PF07955","Protein of unknown function (DUF1687)"
"PF07956","Protein of Unknown function (DUF1690)"
"PF07957","Protein of unknown function (DUF3294)"
"PF07958","Protein of unknown function (DUF1688)"
"PF07959","L-fucokinase"
"PF07960","CBP4"
"PF07961","MBA1"
"PF07962","Replication Fork Protection Component Swi3"
"PF07963","N_methyl"
"PF07964","Red1"
"PF07966","A1_Propeptide"
"PF07967","C3HC zinc finger-like"
"PF07968","Leukocidin"
"PF07969","Amidohydrolase family"
"PF07970","Endoplasmic reticulum vesicle transporter"
"PF07971","Glycosyl hydrolase family 92"
"PF07973","Threonyl and Alanyl tRNA synthetase second additional domain"
"PF07974","EGF_2"
"PF07975","C1_4"
"PF07976","Phenol hydroxylase, C-terminal dimerisation domain"
"PF07977","FabA-like domain"
"PF07978","NIPSNAP"
"PF07980","SusD family"
"PF07981","Plasmod_MYXSPDY"
"PF07982","Herpes_UL74"
"PF07983","X8 domain"
"PF07985","SRR1"
"PF07986","Tubulin binding cofactor C"
"PF07987","Domain of unkown function (DUF1775)"
"PF07988","LMSTEN motif"
"PF07989","Microtubule associated"
"PF07990","Nucleic acid binding protein NABP"
"PF07991","Acetohydroxy acid isomeroreductase, catalytic domain"
"PF07992","Pyridine nucleotide-disulphide oxidoreductase"
"PF07993","Male sterility protein"
"PF07994","Myo-inositol-1-phosphate synthase"
"PF07995","GSDH"
"PF07996","Type IV secretion system proteins"
"PF07998","Peptidase family M54"
"PF07999","Retrotransposon hot spot protein"
"PF08000","Bacterial PH domain"
"PF08001","CMV_US"
"PF08002","DUF1697"
"PF08003","Methyltransf_9"
"PF08006","DUF1700"
"PF08007","Cupin_4"
"PF08011","Protein of unknown function (DUF1703)"
"PF08014","DUF1704"
"PF08015","Pheromone"
"PF08016","Polycystin cation channel"
"PF08017","Fibrinogen binding protein"
"PF08018","Antimicrobial_1"
"PF08020","Protein of unknown function (DUF1706)"
"PF08021","FAD_binding_9"
"PF08022","FAD-binding domain"
"PF08023","Antimicrobial_2"
"PF08026","Antimicrobial_5"
"PF08028","Acyl-CoA dehydrogenase, C-terminal domain"
"PF08029","HisG, C-terminal domain"
"PF08030","Ferric reductase NAD binding domain"
"PF08031","Berberine and berberine like"
"PF08032","RNA 2'-O ribose methyltransferase substrate binding"
"PF08033","Sec23/Sec24 beta-sandwich domain"
"PF08037","Attractin"
"PF08038","Tom7"
"PF08039","Mit_preoteolip"
"PF08042","PqqA"
"PF08045","Cell division control protein 14, SIN component"
"PF08047","His_leader"
"PF08050","Tet_res_leader"
"PF08051","Ery_res_leader1"
"PF08052","PyrBI_leader"
"PF08053","Tna_leader"
"PF08054","Leu_leader"
"PF08055","Trp_leader1"
"PF08056","Trp_leader2"
"PF08058","Nuclear pore complex component"
"PF08059","SEP domain"
"PF08060","NOSIC (NUC001) domain"
"PF08063","PADR1 (NUC008) domain"
"PF08064","UME (NUC010) domain"
"PF08065","K167R (NUC007) repeat"
"PF08066","PMC2NT (NUC016) domain"
"PF08067","ROKNT (NUC014) domain"
"PF08068","DKCLD (NUC011) domain"
"PF08069","Ribosomal S13/S15 N-terminal domain"
"PF08070","DTHCT (NUC029) region"
"PF08071","RS4NT (NUC023) domain"
"PF08073","CHDNT (NUC034) domain"
"PF08074","CHDCT2 (NUC038) domain"
"PF08076","TetM_leader"
"PF08078","PsaX"
"PF08079","Ribosomal L30 N-terminal domain"
"PF08082","PRO8NT (NUC069), PrP8 N-terminal domain"
"PF08083","PROCN (NUC071) domain"
"PF08084","PROCT (NUC072) domain"
"PF08087","Toxin_18"
"PF08089","Toxin_20"
"PF08090","Enterotoxin_ST"
"PF08091","Spider insecticidal peptide"
"PF08092","Toxin_22"
"PF08093","Magi 5 toxic peptide family"
"PF08094","Toxin_24"
"PF08095","Toxin_25"
"PF08097","Toxin_26"
"PF08098","ATX_III"
"PF08099","Toxin_27"
"PF08100","Dimerisation"
"PF08101","Domain of unknown function (DUF1708)"
"PF08103","Antimicrobial_8"
"PF08105","Antimicrobial10"
"PF08106","Antimicrobial11"
"PF08107","Antimicrobial12"
"PF08108","Antimicrobial13"
"PF08111","Pea-VEAacid"
"PF08112","ATP-synt_E_2"
"PF08114","ATPase proteolipid family"
"PF08115","Toxin_28"
"PF08117","Toxin_30"
"PF08118","Yeast mitochondrial distribution and morphology (MDM) proteins"
"PF08119","Toxin_31"
"PF08122","NADH-ubiquinone oxidoreductase B12 subunit family"
"PF08123","Histone methylation protein DOT1"
"PF08124","Polysaccharide lyase family 8, N terminal alpha-helical domain"
"PF08125","Mannitol dehydrogenase C-terminal domain"
"PF08128","Antimicrobial16"
"PF08130","Antimicrobial18"
"PF08131","Defensin_3"
"PF08132","AdoMetDC_leader"
"PF08133","Nuclease_act"
"PF08134","cIII"
"PF08136","Ribosomal_S22"
"PF08138","Sex_peptide"
"PF08142","AARP2CN (NUC121) domain"
